coding	meaning
618	CNTF;Ciliary neurotrophic factor
619	CNTN1;Contactin-1
620	CNTN2;Contactin-2
621	CNTN3;Contactin-3
622	CNTN4;Contactin-4
623	CNTN5;Contactin-5
624	CNTNAP2;Contactin-associated protein-like 2
625	CNTNAP4;Contactin-associated protein-like 4
626	COCH;Cochlin
627	COL15A1;Collagen alpha-1(XV) chain
628	COL18A1;Collagen alpha-1(XVIII) chain
629	COL1A1;Collagen alpha-1(I) chain
630	COL24A1;Collagen alpha-1(XXIV) chain
631	COL28A1;Collagen alpha-1(XXVIII) chain
632	COL2A1;Collagen alpha-1(II) chain
633	COL3A1;Collagen alpha-1(III) chain
634	COL4A1;Collagen alpha-1(IV) chain
635	COL4A4;Collagen alpha-4(IV) chain
636	COL5A1;Collagen alpha-1(V) chain
637	COL6A3;Collagen alpha-3(VI) chain
638	COL9A1;Collagen alpha-1(IX) chain
639	COL9A2;Collagen alpha-2(IX) chain
640	COLEC12;Collectin-12
641	COMMD1;COMM domain-containing protein 1
642	COMMD9;COMM domain-containing protein 9
643	COMP;Cartilage oligomeric matrix protein
644	COMT;Catechol O-methyltransferase
645	COPB2;Coatomer subunit beta'
646	COPE;Coatomer subunit epsilon
647	COQ7;5-demethoxyubiquinone hydroxylase, mitochondrial
648	CORO1A;Coronin-1A
649	CORO6;Coronin-6
650	COX5B;Cytochrome c oxidase subunit 5B, mitochondrial
651	COX6B1;Cytochrome c oxidase subunit 6B1
652	CPA1;Carboxypeptidase A1
653	CPA2;Carboxypeptidase A2
654	CPA4;Carboxypeptidase A4
655	CPB1;Carboxypeptidase B
656	CPB2;Carboxypeptidase B2
657	CPE;Carboxypeptidase E
658	CPLX2;Complexin-2
659	CPM;Carboxypeptidase M
660	CPOX;Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial
661	CPPED1;Serine/threonine-protein phosphatase CPPED1
662	CPQ;Carboxypeptidase Q
663	CPTP;Ceramide-1-phosphate transfer protein
664	CPVL;Probable serine carboxypeptidase CPVL
665	CPXM1;Probable carboxypeptidase X1
666	CPXM2;Inactive carboxypeptidase-like protein X2
667	CR1;Complement receptor type 1
668	CR2;Complement receptor type 2
669	CRACR2A;EF-hand calcium-binding domain-containing protein 4B
670	CRADD;Death domain-containing protein CRADD
671	CREB3;Cyclic AMP-responsive element-binding protein 3
672	CREBZF;CREB/ATF bZIP transcription factor
673	CREG1;Protein CREG1
674	CRELD1;Protein disulfide isomerase CRELD1
675	CRELD2;Protein disulfide isomerase CRELD2
676	CRH;Corticoliberin
677	CRHBP;Corticotropin-releasing factor-binding protein
678	CRHR1;Corticotropin-releasing factor receptor 1
679	CRIM1;Cysteine-rich motor neuron 1 protein
680	CRIP2;Cysteine-rich protein 2
681	CRISP2;Cysteine-rich secretory protein 2
682	CRISP3;Cysteine-rich secretory protein 3
683	CRKL;Crk-like protein
684	CRLF1;Cytokine receptor-like factor 1
685	CRNN;Cornulin
686	CRTAC1;Cartilage acidic protein 1
687	CRTAM;Cytotoxic and regulatory T-cell molecule
688	CRTAP;Cartilage-associated protein
689	CRX;Cone-rod homeobox protein
690	CRYBB1;Beta-crystallin B1
691	CRYBB2;Beta-crystallin B2
692	CRYGD;Gamma-crystallin D
693	CRYM;Ketimine reductase mu-crystallin
694	CRYZL1;Quinone oxidoreductase-like protein 1
695	CSDE1;Cold shock domain-containing protein E1
696	CSF1;Macrophage colony-stimulating factor 1
697	CSF1R;Macrophage colony-stimulating factor 1 receptor
698	CSF2;Granulocyte-macrophage colony-stimulating factor
699	CSF2RA;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
700	CSF2RB;Cytokine receptor common subunit beta
701	CSF3;Granulocyte colony-stimulating factor
702	CSF3R;Granulocyte colony-stimulating factor receptor
703	CSH1;Chorionic somatomammotropin hormone 1
704	CSNK1D;Casein kinase I isoform delta
705	CSNK2A1;Casein kinase II subunit alpha
706	CSPG4;Chondroitin sulfate proteoglycan 4
707	CSPG5;Chondroitin sulfate proteoglycan 5
708	CSRP3;Cysteine and glycine-rich protein 3
709	CST1;Cystatin-SN
710	CST3;Cystatin-C
711	CST5;Cystatin-D
712	CST6;Cystatin-M
713	CST7;Cystatin-F
714	CSTB;Cystatin-B
715	CTAG1A_CTAG1B;Cancer/testis antigen 1
716	CTBS;Di-N-acetylchitobiase
717	CTF1;Cardiotrophin-1
718	CTHRC1;Collagen triple helix repeat-containing protein 1
719	CTLA4;Cytotoxic T-lymphocyte protein 4
720	CTNNA1;Catenin alpha-1
721	CTRB1;Chymotrypsinogen B
722	CTRC;Chymotrypsin-C
723	CTRL;Chymotrypsin-like protease CTRL-1
724	CTSB;Cathepsin B
725	CTSC;Dipeptidyl peptidase 1
726	CTSD;Cathepsin D
727	CTSE;Cathepsin E
728	CTSF;Cathepsin F
729	CTSH;Pro-cathepsin H
730	CTSL;Cathepsin L1
731	CTSO;Cathepsin O
732	CTSS;Cathepsin S
733	CTSV;Cathepsin L2
734	CTSZ;Cathepsin Z
735	CUZD1;CUB and zona pellucida-like domain-containing protein 1
736	CWC15;Spliceosome-associated protein CWC15 homolog
737	CX3CL1;Fractalkine
738	CXADR;Coxsackievirus and adenovirus receptor
739	CXCL1;Growth-regulated alpha protein
740	CXCL10;C-X-C motif chemokine 10
741	CXCL11;C-X-C motif chemokine 11
742	CXCL12;Stromal cell-derived factor 1
743	CXCL13;C-X-C motif chemokine 13
744	CXCL14;C-X-C motif chemokine 14
745	CXCL16;C-X-C motif chemokine 16
746	CXCL17;C-X-C motif chemokine 17
747	CXCL3;C-X-C motif chemokine 3
748	CXCL5;C-X-C motif chemokine 5
749	CXCL6;C-X-C motif chemokine 6
750	CXCL8;Interleukin-8
751	CXCL9;C-X-C motif chemokine 9
752	CYB5A;Cytochrome b5
753	CYB5R2;NADH-cytochrome b5 reductase 2
754	CYP24A1;1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial
755	CYTH3;Cytohesin-3
756	CYTL1;Cytokine-like protein 1
757	DAAM1;Disheveled-associated activator of morphogenesis 1
758	DAB2;Disabled homolog 2
759	DAG1;Dystroglycan
760	DAND5;DAN domain family member 5
761	DAPK2;Death-associated protein kinase 2
762	DAPP1;Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide
763	DARS1;Aspartate--tRNA ligase, cytoplasmic
764	DBH;Dopamine beta-hydroxylase
765	DBI;Acyl-CoA-binding protein
766	DBN1;Drebrin
767	DBNL;Drebrin-like protein
768	DCBLD2;Discoidin, CUB and LCCL domain-containing protein 2
769	DCC;Netrin receptor DCC
770	DCDC2C;Doublecortin domain-containing protein 2C
771	DCLRE1C;Protein artemis
772	DCN;Decorin
773	DCTD;Deoxycytidylate deaminase
774	DCTN1;Dynactin subunit 1
775	DCTN2;Dynactin subunit 2
776	DCTN6;Dynactin subunit 6
777	DCTPP1;dCTP pyrophosphatase 1
778	DCUN1D1;DCN1-like protein 1
779	DCUN1D2;DCN1-like protein 2
780	DCXR;L-xylulose reductase
781	DDA1;DET1- and DDB1-associated protein 1
782	DDAH1;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
783	DDC;Aromatic-L-amino-acid decarboxylase
784	DDHD2;Phospholipase DDHD2
785	DDI2;Protein DDI1 homolog 2
786	DDR1;Epithelial discoidin domain-containing receptor 1
787	DDT;D-dopachrome decarboxylase
788	DDX1;ATP-dependent RNA helicase DDX1
789	DDX25;ATP-dependent RNA helicase DDX25
790	DDX39A;ATP-dependent RNA helicase DDX39A
791	DDX4;Probable ATP-dependent RNA helicase DDX4
792	DDX53;Probable ATP-dependent RNA helicase DDX53
793	DDX58;Antiviral innate immune response receptor RIG-I
794	DECR1;2,4-dienoyl-CoA reductase, mitochondrial
795	DEFA1_DEFA1B;Neutrophil defensin 1
796	DEFB103A_DEFB103B;Beta-defensin 103
797	DEFB104A_DEFB104B;Beta-defensin 104
798	DEFB116;Beta-defensin 116
799	DEFB118;Beta-defensin 118
800	DEFB4A_DEFB4B;Beta-defensin 4A
801	DENND2B;DENN domain-containing protein 2B
802	DENR;Density-regulated protein
803	DFFA;DNA fragmentation factor subunit alpha
804	DGCR6;Protein DGCR6
805	DGKA;Diacylglycerol kinase alpha
806	DGKZ;Diacylglycerol kinase zeta
807	DHODH;Dihydroorotate dehydrogenase
808	DHPS;Deoxyhypusine synthase
809	DHRS4L2;Dehydrogenase/reductase SDR family member 4-like 2
810	DIABLO;Diablo homolog, mitochondrial
811	DIPK1C;Divergent protein kinase domain 1C
812	DIPK2B;Divergent protein kinase domain 2B
813	DKK1;Dickkopf-related protein 1
814	DKK3;Dickkopf-related protein 3
815	DKK4;Dickkopf-related protein 4
816	DKKL1;Dickkopf-like protein 1
817	DLG4;Disks large homolog 4
818	DLGAP5;Disks large-associated protein 5
819	DLK1;Protein delta homolog 1
820	DLL1;Delta-like protein 1
821	DLL4;Delta-like protein 4
822	DMD;Dystrophin
823	DMP1;Dentin matrix acidic phosphoprotein 1
824	DNAJA1;DnaJ homolog subfamily A member 1
825	DNAJA2;DnaJ homolog subfamily A member 2
826	DNAJA4;DnaJ homolog subfamily A member 4
827	DNAJB1;DnaJ homolog subfamily B member 1
828	DNAJB14;DnaJ homolog subfamily B member 14
829	DNAJB2;DnaJ homolog subfamily B member 2
830	DNAJB6;DnaJ homolog subfamily B member 6
831	DNAJB8;DnaJ homolog subfamily B member 8
832	DNAJC21;DnaJ homolog subfamily C member 21
833	DNAJC6;Putative tyrosine-protein phosphatase auxilin
834	DNAJC9;DnaJ homolog subfamily C member 9
835	DNER;Delta and Notch-like epidermal growth factor-related receptor
836	DNLZ;DNL-type zinc finger protein
837	DNM1;Dynamin-1
838	DNM3;Dynamin-3
839	DNMBP;Dynamin-binding protein
840	DNPEP;Aspartyl aminopeptidase
841	DNPH1;2'-deoxynucleoside 5'-phosphate N-hydrolase 1
842	DOC2B;Double C2-like domain-containing protein beta
843	DOCK9;Dedicator of cytokinesis protein 9
844	DOK1;Docking protein 1
845	DOK2;Docking protein 2
846	DPEP1;Dipeptidase 1
847	DPEP2;Dipeptidase 2
848	DPP10;Inactive dipeptidyl peptidase 10
849	DPP4;Dipeptidyl peptidase 4
850	DPP6;Dipeptidyl aminopeptidase-like protein 6
851	DPP7;Dipeptidyl peptidase 2
852	DPT;Dermatopontin
853	DPY30;Protein dpy-30 homolog
854	DRAXIN;Draxin
855	DRG2;Developmentally-regulated GTP-binding protein 2
856	DSC2;Desmocollin-2
857	DSCAM;Down syndrome cell adhesion molecule
858	DSG2;Desmoglein-2
859	DSG3;Desmoglein-3
860	DSG4;Desmoglein-4
861	DTD1;D-aminoacyl-tRNA deacylase 1
862	DTNB;Dystrobrevin beta
863	DTX2;Probable E3 ubiquitin-protein ligase DTX2
864	DTX3;Probable E3 ubiquitin-protein ligase DTX3
865	DTYMK;Thymidylate kinase
866	DUOX2;Dual oxidase 2
867	DUSP13;Dual specificity protein phosphatase 13 isoform A
868	DUSP29;Dual specificity phosphatase 29
869	DUSP3;Dual specificity protein phosphatase 3
870	DUT;Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial
871	DXO;Decapping and exoribonuclease protein
872	DYNC1H1;Cytoplasmic dynein 1 heavy chain 1
873	DYNLT1;Dynein light chain Tctex-type 1
874	DYNLT3;Dynein light chain Tctex-type 3
875	EBAG9;Receptor-binding cancer antigen expressed on SiSo cells
876	EBI3_IL27;Interleukin-27
877	ECE1;Endothelin-converting enzyme 1
878	ECHDC3;Enoyl-CoA hydratase domain-containing protein 3, mitochondrial
879	ECHS1;Enoyl-CoA hydratase, mitochondrial
880	ECI2;Enoyl-CoA delta isomerase 2
881	ECM1;Extracellular matrix protein 1
882	ECSCR;Endothelial cell-specific chemotaxis regulator
883	EDA2R;Tumor necrosis factor receptor superfamily member 27
884	EDAR;Tumor necrosis factor receptor superfamily member EDAR
885	EDDM3B;Epididymal secretory protein E3-beta
886	EDEM2;ER degradation-enhancing alpha-mannosidase-like protein 2
887	EDF1;Endothelial differentiation-related factor 1
888	EDIL3;EGF-like repeat and discoidin I-like domain-containing protein 3
889	EDN1;Endothelin-1
890	EDNRB;Endothelin receptor type B
891	EEF1D;Elongation factor 1-delta
892	EFCAB14;EF-hand calcium-binding domain-containing protein 14
893	EFCAB2;Dynein regulatory complex protein 8
894	EFEMP1;EGF-containing fibulin-like extracellular matrix protein 1
895	EFHD1;EF-hand domain-containing protein D1
896	EFNA1;Ephrin-A1
897	EFNA4;Ephrin-A4
898	EFNB2;Ephrin-B2
899	EGF;Pro-epidermal growth factor
900	EGFL7;Epidermal growth factor-like protein 7
901	EGFLAM;Pikachurin
902	EGFR;Epidermal growth factor receptor
903	EGLN1;Egl nine homolog 1
904	EHBP1;EH domain-binding protein 1
905	EHD3;EH domain-containing protein 3
906	EIF1AX;Eukaryotic translation initiation factor 1A, X-chromosomal
907	EIF2AK2;Interferon-induced, double-stranded RNA-activated protein kinase
908	EIF2AK3;Eukaryotic translation initiation factor 2-alpha kinase 3
909	EIF2S2;Eukaryotic translation initiation factor 2 subunit 2
910	EIF4B;Eukaryotic translation initiation factor 4B
911	EIF4E;Eukaryotic translation initiation factor 4E
912	EIF4EBP1;Eukaryotic translation initiation factor 4E-binding protein 1
913	EIF4G1;Eukaryotic translation initiation factor 4 gamma 1
914	EIF4G3;Eukaryotic translation initiation factor 4 gamma 3
915	EIF5;Eukaryotic translation initiation factor 5
916	EIF5A;Eukaryotic translation initiation factor 5A-1
917	ELAC1;Zinc phosphodiesterase ELAC protein 1
918	ELAVL4;ELAV-like protein 4
919	ELN;Elastin
920	ELOA;Elongin-A
921	ELOB;Elongin-B
922	ENAH;Protein enabled homolog
923	ENDOU;Poly(U)-specific endoribonuclease
924	ENG;Endoglin
925	ENO1;Alpha-enolase
926	ENO2;Gamma-enolase
927	ENO3;Beta-enolase
928	ENOPH1;Enolase-phosphatase E1
929	ENOX2;Ecto-NOX disulfide-thiol exchanger 2
930	ENPEP;Glutamyl aminopeptidase
931	ENPP2;Ectonucleotide pyrophosphatase/phosphodiesterase family member 2
932	ENPP5;Ectonucleotide pyrophosphatase/phosphodiesterase family member 5
933	ENPP6;Glycerophosphocholine cholinephosphodiesterase ENPP6
934	ENPP7;Ectonucleotide pyrophosphatase/phosphodiesterase family member 7
935	ENSA;Alpha-endosulfine
936	ENTPD2;Ectonucleoside triphosphate diphosphohydrolase 2
937	ENTPD5;Ectonucleoside triphosphate diphosphohydrolase 5
938	ENTPD6;Ectonucleoside triphosphate diphosphohydrolase 6
939	ENTR1;Endosome-associated-trafficking regulator 1
940	EP300;Histone acetyltransferase p300
941	EPB41L5;Band 4.1-like protein 5
942	EPCAM;Epithelial cell adhesion molecule
943	EPGN;Epigen
944	EPHA1;Ephrin type-A receptor 1
945	EPHA10;Ephrin type-A receptor 10
946	EPHA2;Ephrin type-A receptor 2
947	EPHA4;Ephrin type-A receptor 4
948	EPHB4;Ephrin type-B receptor 4
949	EPHB6;Ephrin type-B receptor 6
950	EPHX2;Bifunctional epoxide hydrolase 2
951	EPN1;Epsin-1
952	EPO;Erythropoietin
953	EPPK1;Epiplakin
954	EPS8L2;Epidermal growth factor receptor kinase substrate 8-like protein 2
955	ERBB2;Receptor tyrosine-protein kinase erbB-2
956	ERBB3;Receptor tyrosine-protein kinase erbB-3
957	ERBB4;Receptor tyrosine-protein kinase erbB-4
958	ERBIN;Erbin
959	ERC2;ERC protein 2
960	ERCC1;DNA excision repair protein ERCC-1
961	EREG;Proepiregulin
962	ERI1;3'-5' exoribonuclease 1
963	ERMAP;Erythroid membrane-associated protein
964	ERN1;Serine/threonine-protein kinase/endoribonuclease IRE1
965	ERP29;Endoplasmic reticulum resident protein 29
966	ERP44;Endoplasmic reticulum resident protein 44
967	ERVV-1;Endogenous retrovirus group V member 1 Env polyprotein
968	ESAM;Endothelial cell-selective adhesion molecule
969	ESM1;Endothelial cell-specific molecule 1
970	ESPL1;Separin
971	ESR1;Estrogen receptor
972	ESYT2;Extended synaptotagmin-2
973	EVI2B;Protein EVI2B
974	EVI5;Ecotropic viral integration site 5 protein homolog
975	EVPL;Envoplakin
976	EXOSC10;Exosome component 10
977	EXTL1;Exostosin-like 1
978	EZR;Ezrin
979	F10;Coagulation factor X
980	F11;Coagulation factor XI
981	F11R;Junctional adhesion molecule A
982	F12;Coagulation factor XII
983	F13B;Coagulation factor XIII B chain
984	F2;Prothrombin
985	F2R;Proteinase-activated receptor 1
986	F3;Tissue factor
987	F7;Coagulation factor VII
988	F9;Coagulation factor IX
989	FABP1;Fatty acid-binding protein, liver
990	FABP2;Fatty acid-binding protein, intestinal
991	FABP3;Fatty acid-binding protein, heart
992	FABP4;Fatty acid-binding protein, adipocyte
993	FABP5;Fatty acid-binding protein 5
994	FABP6;Gastrotropin
995	FABP9;Fatty acid-binding protein 9
996	FADD;FAS-associated death domain protein
997	FAM13A;Protein FAM13A
998	FAM171A2;Protein FAM171A2
999	FAM171B;Protein FAM171B
1000	FAM172A;Cotranscriptional regulator FAM172A
1001	FAM20A;Pseudokinase FAM20A
1002	FAM3B;Protein FAM3B
1003	FAM3C;Protein FAM3C
1004	FAM3D;Protein FAM3D
1005	FAP;Prolyl endopeptidase FAP
1006	FARSA;Phenylalanine--tRNA ligase alpha subunit
1007	FAS;Tumor necrosis factor receptor superfamily member 6
1008	FASLG;Tumor necrosis factor ligand superfamily member 6
1009	FBLN2;Fibulin-2
1010	FBN2;Fibrillin-2
1011	FBP1;Fructose-1,6-bisphosphatase 1
1012	FCAMR;High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor
1013	FCAR;Immunoglobulin alpha Fc receptor
1014	FCER1A;High affinity immunoglobulin epsilon receptor subunit alpha
1015	FCER2;Low affinity immunoglobulin epsilon Fc receptor
1016	FCGR2A;Low affinity immunoglobulin gamma Fc region receptor II-a
1017	FCGR2B;Low affinity immunoglobulin gamma Fc region receptor II-b
1018	FCGR3B;Low affinity immunoglobulin gamma Fc region receptor III-B
1019	FCN1;Ficolin-1
1020	FCN2;Ficolin-2
1021	FCRL1;Fc receptor-like protein 1
1022	FCRL2;Fc receptor-like protein 2
1023	FCRL3;Fc receptor-like protein 3
1024	FCRL5;Fc receptor-like protein 5
1025	FCRL6;Fc receptor-like protein 6
1026	FCRLB;Fc receptor-like B
1027	FDX1;Adrenodoxin, mitochondrial
1028	FDX2;Ferredoxin-2, mitochondrial
1029	FEN1;Flap endonuclease 1
1030	FES;Tyrosine-protein kinase Fes/Fps
1031	FETUB;Fetuin-B
1032	FGA;Fibrinogen alpha chain
1033	FGD3;FYVE, RhoGEF and PH domain-containing protein 3
1034	FGF12;Fibroblast growth factor 12
1035	FGF16;Fibroblast growth factor 16
1036	FGF19;Fibroblast growth factor 19
1037	FGF2;Fibroblast growth factor 2
1038	FGF20;Fibroblast growth factor 20
1039	FGF21;Fibroblast growth factor 21
1040	FGF23;Fibroblast growth factor 23
1041	FGF3;Fibroblast growth factor 3
1042	FGF5;Fibroblast growth factor 5
1043	FGF6;Fibroblast growth factor 6
1044	FGF7;Fibroblast growth factor 7
1045	FGF9;Fibroblast growth factor 9
1046	FGFBP1;Fibroblast growth factor-binding protein 1
1047	FGFBP2;Fibroblast growth factor-binding protein 2
1048	FGFBP3;Fibroblast growth factor-binding protein 3
1049	FGFR2;Fibroblast growth factor receptor 2
1050	FGFR4;Fibroblast growth factor receptor 4
1051	FGL1;Fibrinogen-like protein 1
1052	FGR;Tyrosine-protein kinase Fgr
1053	FH;Fumarate hydratase, mitochondrial
1054	FHIP2A;FHF complex subunit HOOK interacting protein 2A
1055	FHIT;Bis(5'-adenosyl)-triphosphatase
1056	FIS1;Mitochondrial fission 1 protein
1057	FKBP14;Peptidyl-prolyl cis-trans isomerase FKBP14
1058	FKBP1B;Peptidyl-prolyl cis-trans isomerase FKBP1B
1059	FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4
1060	FKBP5;Peptidyl-prolyl cis-trans isomerase FKBP5
1061	FKBP7;Peptidyl-prolyl cis-trans isomerase FKBP7
1062	FKBPL;FK506-binding protein-like
1063	FLI1;Friend leukemia integration 1 transcription factor
1064	FLRT2;Leucine-rich repeat transmembrane protein FLRT2
1065	FLT1;Vascular endothelial growth factor receptor 1
1066	FLT3;Receptor-type tyrosine-protein kinase FLT3
1067	FLT3LG;Fms-related tyrosine kinase 3 ligand
1068	FLT4;Vascular endothelial growth factor receptor 3
1069	FMNL1;Formin-like protein 1
1070	FMR1;Synaptic functional regulator FMR1
1071	FN1;Fibronectin
1072	FNDC1;Fibronectin type III domain-containing protein 1
1073	FNTA;Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
1074	FOLH1;Glutamate carboxypeptidase 2
1075	FOLR1;Folate receptor alpha
1076	FOLR2;Folate receptor beta
1077	FOLR3;Folate receptor gamma
1078	FOS;Proto-oncogene c-Fos
1079	FOSB;Protein fosB
1080	FOXJ3;Forkhead box protein J3
1081	FOXO1;Forkhead box protein O1
1082	FOXO3;Forkhead box protein O3
1083	FRMD4B;FERM domain-containing protein 4B
1084	FRMD7;FERM domain-containing protein 7
1085	FRZB;Secreted frizzled-related protein 3
1086	FSHB;Follitropin subunit beta
1087	FST;Follistatin
1088	FSTL1;Follistatin-related protein 1
1089	FSTL3;Follistatin-related protein 3
1090	FTCD;Formimidoyltransferase-cyclodeaminase
1091	FUCA1;Tissue alpha-L-fucosidase
1092	FUOM;Fucose mutarotase
1093	FURIN;Furin
1094	FUS;RNA-binding protein FUS
1095	FUT1;Galactoside alpha-(1,2)-fucosyltransferase 1
1096	FUT3_FUT5;3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5
1097	FUT8;Alpha-(1,6)-fucosyltransferase
1098	FXN;Frataxin, mitochondrial
1099	FXYD5;FXYD domain-containing ion transport regulator 5
1100	FYB1;FYN-binding protein 1
1101	FZD10;Frizzled-10
1102	FZD8;Frizzled-8
1103	GABARAP;Gamma-aminobutyric acid receptor-associated protein
1104	GABARAPL1;Gamma-aminobutyric acid receptor-associated protein-like 1
1105	GABRA4;Gamma-aminobutyric acid receptor subunit alpha-4
1106	GAD1;Glutamate decarboxylase 1
1107	GAD2;Glutamate decarboxylase 2
1108	GADD45B;Growth arrest and DNA damage-inducible protein GADD45 beta
1109	GADD45GIP1;Growth arrest and DNA damage-inducible proteins-interacting protein 1
1110	GAGE2A;G antigen 2A
1111	GAL;Galanin peptides
1112	GALNT10;Polypeptide N-acetylgalactosaminyltransferase 10
1113	GALNT2;Polypeptide N-acetylgalactosaminyltransferase 2
1114	GALNT3;Polypeptide N-acetylgalactosaminyltransferase 3
1115	GALNT5;Polypeptide N-acetylgalactosaminyltransferase 5
1116	GALNT7;N-acetylgalactosaminyltransferase 7
1117	GAMT;Guanidinoacetate N-methyltransferase
1118	GAPDH;Glyceraldehyde-3-phosphate dehydrogenase
1119	GART;Trifunctional purine biosynthetic protein adenosine-3
1120	GAS2;Growth arrest-specific protein 2
1121	GAS6;Growth arrest-specific protein 6
1122	GASK1A;Golgi-associated kinase 1A
1123	GAST;Gastrin
1124	GATA3;Trans-acting T-cell-specific transcription factor GATA-3
1125	GATD3;Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial
1126	GBA;Lysosomal acid glucosylceramidase
1127	GBP1;Guanylate-binding protein 1
1128	GBP2;Guanylate-binding protein 2
1129	GBP4;Guanylate-binding protein 4
1130	GBP6;Guanylate-binding protein 6
1131	GC;Vitamin D-binding protein
1132	GCC1;GRIP and coiled-coil domain-containing protein 1
1133	GCG;Pro-glucagon
1134	GCHFR;GTP cyclohydrolase 1 feedback regulatory protein
1135	GCLM;Glutamate--cysteine ligase regulatory subunit
1136	GCNT1;Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase
1137	GDF15;Growth/differentiation factor 15
1138	GDF2;Growth/differentiation factor 2
1139	GDNF;Glial cell line-derived neurotrophic factor
1140	GET3;ATPase GET3
1141	GFAP;Glial fibrillary acidic protein
1142	GFER;FAD-linked sulfhydryl oxidase ALR
1143	GFOD2;Glucose-fructose oxidoreductase domain-containing protein 2
1144	GFRA1;GDNF family receptor alpha-1
1145	GFRA2;GDNF family receptor alpha-2
1146	GFRA3;GDNF family receptor alpha-3
1147	GFRAL;GDNF family receptor alpha-like
1148	GGA1;ADP-ribosylation factor-binding protein GGA1
1149	GGACT;Gamma-glutamylaminecyclotransferase
1150	GGCT;Gamma-glutamylcyclotransferase
1151	GGH;Gamma-glutamyl hydrolase
1152	GGT1;Glutathione hydrolase 1 proenzyme
1153	GGT5;Glutathione hydrolase 5 proenzyme
1154	GH1;Somatotropin
1155	GH2;Growth hormone variant
1156	GHR;Growth hormone receptor
1157	GHRHR;Growth hormone-releasing hormone receptor
1158	GHRL;Appetite-regulating hormone
1159	GID8;Glucose-induced degradation protein 8 homolog
1160	GIGYF2;GRB10-interacting GYF protein 2
1161	GIMAP7;GTPase IMAP family member 7
1162	GIMAP8;GTPase IMAP family member 8
1163	GIP;Gastric inhibitory polypeptide
1164	GIPC2;PDZ domain-containing protein GIPC2
1165	GIPC3;PDZ domain-containing protein GIPC3
1166	GIPR;Gastric inhibitory polypeptide receptor
1167	GIT1;ARF GTPase-activating protein GIT1
1168	GJA8;Gap junction alpha-8 protein
1169	GKN1;Gastrokine-1
1170	GLA;Alpha-galactosidase A
1171	GLB1;Beta-galactosidase
1172	GLI2;Zinc finger protein GLI2
1173	GLIPR1;Glioma pathogenesis-related protein 1
1174	GLO1;Lactoylglutathione lyase
1175	GLOD4;Glyoxalase domain-containing protein 4
1176	GLP1R;Glucagon-like peptide 1 receptor
1177	GLRX;Glutaredoxin-1
1178	GLRX5;Glutaredoxin-related protein 5, mitochondrial
1179	GLT8D2;Glycosyltransferase 8 domain-containing protein 2
1180	GLYR1;Putative oxidoreductase GLYR1
1181	GM2A;Ganglioside GM2 activator
1182	GMFG;Glia maturation factor gamma
1183	GMPR;GMP reductase 1
1184	GMPR2;GMP reductase 2
1185	GNAS;Neuroendocrine secretory protein 55
1186	GNE;Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
1187	GNGT1;Guanine nucleotide-binding protein G(T) subunit gamma-T1
1188	GNLY;Granulysin
1189	GNPDA1;Glucosamine-6-phosphate isomerase 1
1190	GNPDA2;Glucosamine-6-phosphate isomerase 2
1191	GOLGA3;Golgin subfamily A member 3
1192	GOLM2;Protein GOLM2
1193	GOPC;Golgi-associated PDZ and coiled-coil motif-containing protein
1194	GORASP2;Golgi reassembly-stacking protein 2
1195	GOT1;Aspartate aminotransferase, cytoplasmic
1196	GP1BA;Platelet glycoprotein Ib alpha chain
1197	GP1BB;Platelet glycoprotein Ib beta chain
1198	GP2;Pancreatic secretory granule membrane major glycoprotein GP2
1199	GP5;Platelet glycoprotein V
1200	GP6;Platelet glycoprotein VI
1201	GPA33;Cell surface A33 antigen
1202	GPC1;Glypican-1
1203	GPC5;Glypican-5
1204	GPD1;Glycerol-3-phosphate dehydrogenase
1205	GPHA2;Glycoprotein hormone alpha-2
1206	GPI;Glucose-6-phosphate isomerase
1207	GPIHBP1;Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1
1208	GPKOW;G-patch domain and KOW motifs-containing protein
1209	GPNMB;Transmembrane glycoprotein NMB
1210	GPR101;Probable G-protein coupled receptor 101
1211	GPR158;Probable G-protein coupled receptor 158
1212	GPR15L;Protein GPR15L
1213	GPR37;Prosaposin receptor GPR37
1214	GPRC5C;G-protein coupled receptor family C group 5 member C
1215	GRAP2;GRB2-related adapter protein 2
1216	GRHPR;Glyoxylate reductase/hydroxypyruvate reductase
